Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
ullapara11summit,Gas,"SIPP, REB",4*2.90,11,11,,,,,Rajshahi,,,
natore52rajlanka,HFO,IPP,52,52,52,,9,Engine problem,,Rajshahi,,,
chapainawabganj100peaking,HFO,PDB,104,104,104,,,,,Rajshahi,,,
baghabari200paramount,HSD,IPP,200 MW,200,200,,,,,Rajshahi,,,
bagura113confidence2,HFO,IPP,113 MW,113,113,,,,,Rajshahi,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,,,,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,,,,,Rangpur,,,
barapukuria2,Coal,PDB,1*125,125,85,85,,Coal Shortage.,,Rangpur,,,
barapukuria2753,Coal,PDB,1*275,274,274,,,,,Rangpur,,,
rangpur20g,HSD,PDB,1*20,20,20,,,,,Rangpur,,,
saidpur20g,HSD,PDB,1*20,20,20,,,,,Rangpur,,,
rangpur113confidence,HFO,IPP,113 MW,113,113,,,,,Rangpur,,,
ghorasalrepowered4,Gas,PDB,1*210,210,180,180,,Gas shortage,,Dhaka,,,
ghorasal5,Gas,PDB,1*210,210,190,190,,Gas shortage,,Dhaka,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,108,,Gas shortage,,Dhaka,,,
haripurg,Gas,PDB,2*32,32,20,,20,Under maint.,,Dhaka,,,
haripur412,Gas,EGCB,1*273+1*139,412,400,,,,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,0,0,,,Contract Expired,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,,450,Under maint.,2024-12-24 00:00:00,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,0,0,,,Contract Expired,,Dhaka,,,
madanganj102summit,HFO,NENP,6*17,0,0,,,Contract Expired,,Dhaka,,,
madanganj55summit,HFO,IPP,3*17.08+1*11.3,55,55,,,,,Dhaka,,,
keraniganj100powerpac,HFO,NENP,8*13.45,100,75,,75,Engine problem,,Dhaka,,,
210siddhirgonj,Gas,PDB, 1*210,210,115,,115,under maint,,Dhaka,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,210,,Gas shortage,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,94,,Fuel shortage,,Dhaka,,,
katpotti52sinha,HFO,IPP,7*7.9,51,0,,,Contract Expired,,Dhaka,,,
manikganj55northern,HFO,IPP,3*19.3,55,55,,,,,Dhaka,,,
bosila108clc,HFO,IPP,12*8.775+1*3.5,108,0,,, ,,Dhaka,,,
summitpowermadhabdiashulia,Gas,"SIPP,REB",3*3.67+4*8.73,80,80,,32,Engine problem,,Dhaka,,,
maona33summit,Gas,"SIPP,REB",4*8.73,33,33,,8,Engine problem,,Dhaka,,,
gazipur52,HFO,RPCL,6*8.9,52,52,,,,,Dhaka,,,
kodda1491summit,HFO,IPP,8*18.45+8.97,149,149,,,,,Dhaka,,,
manikgonj162mpgl,HFO,IPP,9*18,162,162,,,,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,18.4*3,55,55,19,,Fuel shortage,,Dhaka,,,
meghnaghatuniquepower,Gas,IPP,586,584,584,84,,,,Dhaka,,,
summitmeghanghat2589,Gas,IPP,589,583,583,583,,Gas shortage,,Dhaka,,,
jerameghnaghatpowerlimited,Gas,IPP,718,0,0,,,On test.,,Dhaka,,,
chattogram1,Gas,PDB,1*210,210,180,,180,Under maint,,Chattogram,,,
raozan25,HFO,RPCL,3*8.9,25,25,,,,,Chattogram,,,
sikalbaha105barakasikalbaha,HFO,IPP,6*17.5,105,105,,,,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,,24,Engine problem,,Chattogram,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,,52,Engine problem,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,0,0,,,Contract Expired,,Chattogram,,,
juldah1003acorn,HFO,IPP,8*13.5,100,100,,,,,Chattogram,,,
barabkunda22regent,Gas,"SIPP, PDB",8*2.90,0,0,,,Contract Expired,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,58,,Fuel shortage,,Chattogram,,,
anwara300ed,HFO,IPP,17*17+24,300,300,200,,Fuel shortage,,Chattogram,,,
karnaphulipower,HFO,IPP,18.415*6+6.5,110,110,,,,,Chattogram,,,
juldah2acorn,HFO,IPP,8*13.6,100,100,,,,,Chattogram,,,
anlimaenergy,HFO,IPP,6*21.2,116,116,,,,,Chattogram,,,
mirsharai150,HFO,BPDB-RPCL,18.5*9,163,163,,,,,Chattogram,,,
sspoweri,Coal,IPP,2*612,1224,1224,564,,Coal shortage,,Chattogram,,,
coxsbazarwind,Wind,IPP,66,60,60,,,On test.,,Chattogram,,,
matarbari2600cpgcl,Coal,CPGCL,2*575,1150,1150,,575,Unit-1 Under maint,,Chattogram,,,
ashuganj3,Gas,APSCL,1*150,0,0,,,,,Cumilla,,,
ashuganj4,Gas,APSCL,1*150,0,0,,,,,Cumilla,,,
ashuganj5,Gas,APSCL,1*150,0,0,,,,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,,360,Under maint.,,Cumilla,,,
ashuganj420east,Gas,APSCL,284*1+116*1,400,400,,400,Under maint.,,Cumilla,,,
ashuganj55precision,Gas,NENP,0,55,55,55,,Gas shortage,,Cumilla,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,,,,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,,10,Engine problem,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,7,Engine problem,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,113,,Gas shortage,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,,,,,Cumilla,,,
feni11doreen,Gas,"SIPP, REB",4*2.90,11,11,,,Contract Expired,,Cumilla,,,
jangalia33summit,Gas,"SIPP, PDB",4*8.73,0,0,,,Contract Expired,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,,13,Engine problem,,Cumilla,,,
chandpur115doreen,HFO,IPP,4*18.5+2*22.5,115,115,23,,Fuel shortage,,Cumilla,,,
sonagazi75solarplant,Solar,EGCB,75,75,75,,,,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,168,,Gas shortage,,Mymensingh,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,105,,Fuel shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,60,,Fuel shortage,,Mymensingh,,,
tangailpallipowergen22,HFO,IPP,4*6.7,22,22,,,,,Mymensingh,,,
bhairob545,HFO,IPP,3*18.2,54,54,,,,,Mymensingh,,,
sreepur150,HFO,BPDB-RPCL,150,0,0,,,,,Mymensingh,,,
fenchugonjphase1,Gas,PDB,2*32+1*33,97,70,,40,Gas shortage,,Sylhet,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,90,Gas shortage,,Sylhet,,,
fenchugonj51barakatullah,Gas,RPP ,19*2.90,0,0,,,Contract Expired,,Sylhet,,,
hobiganj11cofidencee,Gas,"SIPP, REB",4*2.90,11,11,,9,Engine problem,,Sylhet,,,
shahjibazarg89,Gas,PDB,2*35,70,66,8,,,,Sylhet,,,
shahjibazar100g,Gas,PDB,1*100,100,100,,,,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,31,machine problem,,Sylhet,,,
shahjahanulla25,Gas,"SIPP, REB",3*9.34,25,25,,3,Engine problem,,Sylhet,,,
bibianaii341summit,Gas,IPP,1*222+1*119,341,341,31,,FGMO,,Sylhet,,,
bibiyanaiii400,Gas,PDB,285*1+134*1,400,400,,130,machine problem,,Sylhet,,,
sylhet10desh,Gas,RPP ,6*1.95,0,0,,,Contract Expired,,Sylhet,,,
bibiyanasouth400,Gas,PDB,400 MW,383,383,,,,,Sylhet,,,
khulna115kpcl2,HFO,NENP,7*17,0,0,,,Contract Expired,,Khulna,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,,19,Engine problem,,Khulna,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,,49,Engine problem,,Khulna,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,60,,Gas shortage,,Khulna,,,
noapara40khanjahanali,HFO,NENP,5*8.5,0,0,,,Contract Expired,,Khulna,,,
noapara100banglatrac,HSD,IPP,70*1.4,0,0,,,Contract Expired,,Khulna,,,
rupsha105orionrupsha,HFO,IPP,6*18.445,105,105,105,,Fuel shortage,,Khulna,,,
khulna330,Gas/HSD,PDB,1*220+1*110,336,336,,,,,Khulna,,,
rampal1320bifpcl,Coal,NTPC&BPDB,617*2,1234,1234,,,,,Khulna,,,
nepal,0,Imported power,40,0,0,,,,,Khulna,,,
barisal110summit,HFO,IPP,7*17.076,110,110,110,,Fuel shortage,,Barisal,,,
bhola33venture,Gas,NENP,1*34.50,40,10,,,,,Barisal,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,194,Machine problem,,Barisal,,,
bhola95aggreko,Gas,QRPP,96*1.10,0,0,,,Contract Expired,,Barisal,,,
payra1320,Coal,BCPCL,2*622,1244,1244,,622,Gopalganj(N)-Payara 400 kV ckt-1 & 2 S/D,,Barisal,,,
barisal307,Coal,IPP,307*1,307,307,,,Gopalganj(N)-Payara 400 kV ckt-1 & 2 S/D,,Barisal,,,
barisal1solarplant,Solar,PDB,1,1,1,,,,,Barisal,,,
baghabari71g,Gas,PDB,1*71,71,71,11,,,,Rajshahi,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,,12,Engine problem,,Rajshahi,,,
bera70peaking,HFO,PDB,9*8.29,71,71,,46,Engine problem,,Rajshahi,,,
katakhali50northern,HFO,QRPP,6*8.9,0,0,,,Contract Expired,,Rajshahi,,,
katakhali50peaking,HFO,PDB,6*8.7,50,50,,18,Engine problem,,Rajshahi,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,20,,,,Rajshahi,,,
sirajgonj2252,Gas/HSD,NWPGCL,1*150+1*75,220,220,40,,,,Rajshahi,,,
sirajgonj2253,Gas/HSD,NWPGCL,1*141,220,220,30,,,,Rajshahi,,,
sirajgonj4004,Gas/HSD,"IPP, SNWPGCL",1*282+1*132,414,414,,414,under maint,2025-01-31 00:00:00,Rajshahi,,,
santahar50peaking,HFO,PDB,6*8.7,50,50,,26,Engine problem,,Rajshahi,,,
natore52rajlanka,HFO,IPP,6*8.92,52,52,,,,,Rajshahi,,,
chapainawabganj100peaking,HFO,PDB,12*8.924,104,104,,9,Engine problem,,Rajshahi,,,
baghabari200paramount,HSD,IPP,135*1.6,0,0,,,Contract Expired,,Rajshahi,,,
bagura113confidence2,HFO,IPP,6*18.55+7.2,113,113,,,,,Rajshahi,,,
sirajganj68solarpark,Solar,IPP,68,68,68,,,,,Rajshahi,,,
pabnasolar100,Solar,IPP,100,0,0,,,,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,,85,Machine problem,,Rangpur,,,
barapukuria2753,Coal,PDB,1*275,274,274,,114,Machine problem,,Rangpur,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,,,,,Rangpur,,,
energypacpowerventurethakurgaon,HFO,IPP,115,115,115,,,,,Rangpur,,,
teestasolarlimited,Solar,IPP,16*12.5,200,200,,,,,Rangpur,,,
ghorasalst12,Gas,PDB,2*55,110,85,,49,Unit-1 under maint.,,Dhaka,,,
ghorasalgt3,Gas,PDB,1*210,210,170,,,On test.,,Dhaka,,,
ghorasalgt4,Gas,PDB,1*210,210,180,,,On test.,,Dhaka,,,
ghorasalst5,Gas,PDB,1*210,210,190,,,,,Dhaka,,,
ghorasalst7,Gas,PDB,1*243+1*122,365,365,,,,,Dhaka,,,
ghorashal78max,Gas,QRPP,2*40,78,78,78,,Gas shortage,,Dhaka,,,
ghorashalregent,Gas,IPP,34*3.35,108,108,108,,Gas shortage,,Dhaka,,,
haripurgt12,Gas,"SBU, PDB",2*32,64,40,40,,Gas shortage,,Dhaka,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,,,Under maint.,,Dhaka,,,
haripurnepc110,HFO,IPP,8*15,110,110,,,,,Dhaka,,,
haripurpower360,Gas,IPP,1*235+1*125,360,360,,,,,Dhaka,,,
meghnaghat450,Gas,IPP,2*150+1*150,450,450,,,,,Dhaka,,,
meghnaghatiel,HFO,QRPP,12*8.9,100,100,,,,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,305,305,,,,,Dhaka,,,
madanganj102,HFO,QRPP ,6*17,102,100,,,,,Dhaka,,,
madanganj55,HFO,(IPP),3*17.08+1*11.3,55,55,,,,,Dhaka,,,
keraniganjpowerpac100,HFO,QRPP,8*13.45,100,100,,,,,Dhaka,,,
narshingdidoreen,Gas,"SIPP, REB",8*2.90,22,22,,,,,Dhaka,,,
siddhirgonjst210,Gas,PDB, 1*210,210,115,115,,Gas shortage,,Dhaka,,,
siddhirgonjgt12,Gas,EGCB, 2*105,210,210,113,,Gas shortage,,Dhaka,,,
siddhirganjdesh,HSD,QRPP ,96*1.2,100,100,,,Contract expired,,Dhaka,,,
siddhirganjdutchbangla,HFO,QRPP ,12*8.9,100,100,,,,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217,217,217,217,,On test.,,Dhaka,,,
pagladpa,HSD,QRPP ,100*0.5,0,0,,,Contract expired,,Dhaka,,,
gagnagarorion,HFO,IPP,12*8.924,102,102,,,,,Dhaka,,,
katpotti51,HFO,IPP,7*7.9,51,51,,,,,Dhaka,,,
bancoenergy54,HFO,IPP,3*18,54,54,,,,,Dhaka,,,
kodda149,HFO,BPDB-RPCL,9*17.06,149,149,,,,,Dhaka,,,
northern55,HFO,IPP,3*19.3,55,55,,,,,Dhaka,,,
southern55,HFO,IPP,3*19.3,55,55,,,,,Dhaka,,,
bosila108,HFO,IPP,12*8.775+1*3.5,108,108,,54,Engine problem,,Dhaka,,,
summitpowermadhabdiashulia,Gas,"SIPP,REB",3*3.67+4*8.73,80,80,,23,Engine problem,,Dhaka,,,
summitmaona,Gas,"SIPP,REB",4*8.73,33,33,,,,,Dhaka,,,
summitrupganj,Gas,"SIPP,REB",4*8.73,33,33,,,,,Dhaka,,,
gazipurrpcl,HFO,IPP,6*8.9,52,52,,,,,Dhaka,,,
tongigt,Gas,PDB,1* 105,105,105,105,,Gas shortage,,Dhaka,,,
summitgazipur2,HFO,IPP,18*17.076,300,300,,,,,Dhaka,,,
aprenergykeranigonj,HSD,IPP,256*1.4,300,300,,,,,Dhaka,,,
aggrekoaurahati100,HSD,IPP,0.85*23+0.95*91,100,100,,,,,Dhaka,,,
summitgazipur1150,HFO,IPP,149,149,149,,,,,Dhaka,,,
gazipur100,HFO,RPCL,100 MW,0,0,,,,,Dhaka,,,
chattogramst1raozan,Gas,PDB,1*210,210,180,80,,Gas shortage,,Chattogram,,,
chittgongst2raozan,Gas,PDB,1*210,210,180,60,,Gas shortage,,Chattogram,,,
raozan25rpcl,HFO,IPP,3*8.9,25,25,,,,,Chattogram,,,
teknafsolartech20,Solar,Teknaf Solartech Energy Ltd.,20,20,20,,,,,Chattogram,,,
patenga50,HFO,IPP,8*6.98,50,50,,,,,Chattogram,,,
kaptaihydro12345,Hydro,PDB,2*40+3*50,230,230,,120,Low water lavel,,Chattogram,,,
sikalbahast60,Gas,PDB,1*60,60,40,,40,Under S/D,,Chattogram,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*175,225,225,,,Under maint.,23/04/2019,Chattogram,,,
sikalbahaenergis,HFO,RPP ,4*12.5+2*11.9+1*3+1*1.5,51,51,,10,Engine problem,,Chattogram,,,
hathazaripeaking,HFO,PDB,11*8.9,98,98,,,,,Chattogram,,,
dohazaripeaking,HFO,PDB,6*17,102,102,,,,,Chattogram,,,
juldahacorn,HFO,QRPP,8*13.45,100,100,,,,,Chattogram,,,
juldah1003,HFO,IPP,0,100,100,,,,,Chattogram,,,
barabkundaregent,Gas,"SIPP, PDB",8*2.90,22,22,,, ,,Chattogram,,,
chattogramecpv108,HFO,IPP,16*7,108,108,,,,,Chattogram,,,
ashuganjst3,Gas,APSCL,1*150,150,135,135,,Gas shortage,,Cumilla,,,
ashuganjst4,Gas,APSCL,1*150,150,129,129,,Gas shortage,,Cumilla,,,
ashuganjst5,Gas,APSCL,1*150,150,134,,54,Gas shortage,,Cumilla,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,,,,Cumilla,,,
ashuganjnorth,Gas,APSCL,1*360,360,360,,,,,Cumilla,,,
ashuganjsouth,Gas,APSCL,1*360,360,360,,,,,Cumilla,,,
ashuganjenginestsk,Gas,APSCL,14*3.968,53,45,,,,,Cumilla,,,
ashuganjprecision55,Gas,RPP ,15*4,55,55,,,,,Cumilla,,,
ashuganjed53,Gas,QRPP,14*4,53,53,48,,Gas Shortage,,Cumilla,,,
ashuganj195modular,Gas,IPP,20*9.73+1*16,195,195,,,,,Cumilla,,,
ashuganjmidland51,Gas,IPP,6*9.34,51,51,,6,Engine problem,,Cumilla,,,
midland150,HFO,IPP,23*7.015,150,150,,,,,Cumilla,,,
bbariaaggreko85,Gas,QRPP ,86*1.10,85,85,,,Contract expired,,Cumilla,,,
daudkandipeaking52,HFO,PDB,6*8.92,52,52,,,,,Cumilla,,,
chandpur,Gas,PDB,1*106+1*57,163,163,,,,,Cumilla,,,
chandpurdesh200,HFO,IPP,0,200,200,,,,,Cumilla,,,
fenidoreen22,Gas,"SIPP, PDB",8*2.90,22,22,,,,,Cumilla,,,
fenimohipaldoreen,Gas,"SIPP, REB",4*2.90,11,11,,,,,Cumilla,,,
tripura,,Imported power,0,160,160,,, ,,Cumilla,,,
jangaliasummit33,Gas,"SIPP, PDB",4*8.73,33,33,,,,,Cumilla,,,
lakdhanvi52,HFO,IPP,6*8.92,52,52,,,,,Cumilla,,,
summitcumilla25,Gas,"SIPP, PDB",3*3.67+2*6.97,25,25,,,,,Cumilla,,,
daudkandibanglatrak,HSD,IPP,154*1.4,200,200,,,,,Cumilla,,,
mymensinghrpcl210,Gas,IPP,4*35+1*70,210,202,,,Gas shortage,,Mymensingh,,,
tangaildoreen22,Gas,"SIPP, PDB",8*2.90,22,22,,,,,Mymensingh,,,
jamalpur95,HFO,IPP,12*8.924,95,95,,10,Engine problem,,Mymensingh,,,
sarishabarisolar,Solar,IPP,1*3,3,3,,,,,Mymensingh,,,
edmymensinghl,HFO,IPP,200,200,200,,,,,Mymensingh,,,
edjamalpurl,HFO,IPP,115 MW,115,115,,,,,Mymensingh,,,
fenchugonj1,Gas,PDB,2*32+1*33,97,70,,,,,Sylhet,,,
fenchugonj2,Gas,PDB,!F71,104,90,,,,,Sylhet,,,
kushiara163gt,Gas,IPP,1*109+1*54,163,163,,,,,Sylhet,,,
shajibazar330,Gas,PDB,3*110,330,330,,," FGMO, GT-2 under maint.",,Sylhet,,,
fenchugonjbarakatullah51,Gas,RPP ,19*2.90,51,51,,,,,Sylhet,,,
fenchuganjepl44,Gas,RPP,12*3.3+5*2,44,44,,,,,Sylhet,,,
hobiganj11,Gas,"SIPP, REB",4*2.90,11,11,,,,,Sylhet,,,
shahjibazargt89,Gas,PDB,2*35,70,66,,,FGMO,,Sylhet,,,
shahjibazar86,Gas,RPP ,32*2.90,86,86,,,,,Sylhet,,,
shahjibazarepl50,Gas,RPP,27*2.0,50,50,,4,Engine problem,,Sylhet,,,
sylhetgt150,Gas,PDB,1*142,142,142,,,,,Sylhet,,,
sylhetgt20,Gas,PDB,1*20,20,20,,,,,Sylhet,,,
sylhetepl50,Gas,RPP ,27*2,50,50,,,,,Sylhet,,,
summitbibiana2,Gas,IPP,1*222+1*119,341,341,,,FGMO,,Sylhet,,,
bibiyana3285,Gas,PDB,285 MW,0,0,,,On test,,Sylhet,,,
sylhetdesh10,Gas,RPP ,6*1.95,10,10,,,,,Sylhet,,,
bheramaragt123,HSD,PDB,3*20,60,46,,,,,Khulna,,,
khulnakpcl13,HFO,IPP,19*6.5,0,0,,,Contract expired,,Khulna,,,
khulnakpcl2,HFO,QRPP,7*17,115,115,,,,,Khulna,,,
faridpurpeaking,HFO,PDB,8*6.89,54,54,,,,,Khulna,,,
khulna225,HSD,NWPGCL,1*150+1*75,230,230,,,Reserve,,Khulna,,,
gopalganjpeaking,HFO,PDB,16*6.98,109,109,,,,,Khulna,,,
bheramara360,Gas,NWPGCL,1*278+1*132,410,410,,410,Under maint.,,Khulna,,,
noaparakza40,HFO,QRPP,5*8.5,40,40,,,,,Khulna,,,
khulnaaggreeco55,HSD,QRPP,71*0.85,0,0,,,Contract Expired,,Khulna,,,
banglatraknoapara,HSD,IPP,70*1.4,100,100,,,,,Khulna,,,
labonchora105,HFO,IPP,6*18.445,105,105,,,,,Khulna,,,
madhumatipowerplant,HFO,IPP,100 MW,0,0,,,,,Khulna,,,
summitbarisal110,HFO,IPP,7*17.076,110,110,,,,,Barisal,,,
barisalgt12,HSD,PDB,2*20,40,30,,,,,Barisal,,,
bholaventure33,Gas,RPP,1*34.50,33,33,,,,,Barisal,,,
bhola194,Gas,PDB,2*63+1*68,194,194,,,,,Barisal,,,
bholaaggreko95,Gas,QRPP,96*1.10,95,95,,,,,Barisal,,,
baghabarigt71,Gas,PDB,1*71,71,71,,,Gas shortage,,Rajshahi,,,
baghabarigt100,Gas,PDB,1*100,100,100,,,Gas shortage,,Rajshahi,,,
baghabaripeaking50,HFO,PDB,6*8.9,52,52,,,,,Rajshahi,,,
berapeaking,HFO,PDB,9*8.29,71,71,,,,,Rajshahi,,,
amnura50,HFO,QRPP,7*7.79,50,50,,15,Engine problem,,Rajshahi,,,
katakhalinorthern,HFO,QRPP,6*8.9,50,50,,,,,Rajshahi,,,
katakhalipeaking,HFO,PDB,6*8.7,50,50,,,,,Rajshahi,,,
sirajgonj1225,Gas/HSD,NWPGCL,1*150+1*75,210,210,,,FGMO,,Rajshahi,,,
sirajgonj2225,Gas/HSD,NWPGCL,1*150+1*75,220,220,,,FGMO,,Rajshahi,,,
sirajgonj3225,Gas/HSD,NWPGCL,1*141,220,220,,,FGMO,,Rajshahi,,,
sirajgonj4414,Gas,SNWPGCL,1*282,282,282,,,ON test,,Rajshahi,,,
santaharpeaking,HFO,PDB,6*8.7,50,50,,,,,Rajshahi,,,
bogragbb,Gas,RPP ,6*4,22,22,,,,,Rajshahi,,,
bograepl,Gas,RPP ,5*3.3+5*2,20,10,,,,,Rajshahi,,,
ullaparasummit,Gas,"SIPP, REB",4*2.90,11,11,,,,,Rajshahi,,,
rajlanka52,HFO,IPP,52,52,52,,9,Engine problem,,Rajshahi,,,
chapainawabganj100,HFO,PDB,104,104,104,,,,,Rajshahi,,,
paramountbaghabari,HSD,IPP,200 MW,200,200,,,Reserve,,Rajshahi,,,
confidencecpbl2,HFO,IPP,113 MW,113,113,,,On test,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,,85,Under overhauling,,Rangpur,,,
barapukuria2,Coal,PDB,1*125,125,85,,,,,Rangpur,,,
barapukuria3,Coal,PDB,1*275,274,274,89,,,,Rangpur,,,
rangpurgt,HSD,PDB,1*20,20,20,,,,,Rangpur,,,
saidpurgt,HSD,PDB,1*20,20,20,,,,,Rangpur,,,
ghorasalrepowered4,Gas,PDB,1*210,210,180,60,,Gas shortage,,Dhaka,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,165,,Gas shortage,,Dhaka,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,412,,Gas shortage,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,170,,Gas shortage,,Dhaka,,,
meghnaghat100iel,HFO,QRPP,12*8.9,100,0,,,Contract Expired,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,305,305,,,FGMO,,Dhaka,,,
madanganj102summit,HFO,QRPP ,6*17,102,0,,,,,Dhaka,,,
keraniganj100powerpac,HFO,QRPP,8*13.45,100,100,,75,Engine problem,,Dhaka,,,
siddhirganj100dutchbangla,HFO,QRPP ,12*8.9,100,0,,,Contract Expired,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,,335,Gas shortage,,Dhaka,,,
katpotti52sinha,HFO,IPP,7*7.9,51,0,,,,,Dhaka,,,
kamalaghat54bancoenergy,HFO,IPP,3*18,54,54,,19,Engine problem,,Dhaka,,,
nababganj55southernpower,HFO,IPP,3*19.3,55,55,,20,Engine problem,,Dhaka,,,
tongi80g,Gas,PDB,1* 105,105,105,,105,Under maint.,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,,,,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,55,0,0,,,,,Dhaka,,,
chattogram1,Gas,PDB,1*210,210,180,,180,Under maint.,,Chattogram,,,
chattogram2,Gas,PDB,1*210,210,180,,180,Under maint.,,Chattogram,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,144,Low Water Level & Unit 4 & 5  U/M.,,Chattogram,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*175,225,225,,225,Under maint,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,,98,Under S/D.,,Chattogram,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,,32,Engine problem,,Chattogram,,,
juldah1003acorn,HFO,IPP,0,100,100,,10,Engine problem,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,,18,Engine problem,,Chattogram,,,
ashuganj3,Gas,APSCL,1*150,150,135,135,,Gas shortage,,Cumilla,,,
ashuganj5,Gas,APSCL,1*150,150,134,54,,Gas shortage,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,,360,Under maint,,Cumilla,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,,16,Engine problem,,Cumilla,,,
ashuganj55precision,Gas,RPP ,15*4,55,55,,,,,Cumilla,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,159,,Gas shortage,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,,13,Engine problem,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,23,Machine problem.,,Cumilla,,,
bhairob545,HFO,IPP,3*18.2,54,54,,37,33 kV feeder fault,,Cumilla,,,
chandpur115doreen,HFO,IPP,115,0,0,,,On test,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,82,,Gas shortage,,Mymensingh,,,
jamalpur95powerpac,HFO,IPP,12*8.924,95,8,,8,Engine problem,,Mymensingh,,,
mymensingh200ed,HFO,IPP,200,200,200,,,,,Mymensingh,,,
fenchugonjphase1,Gas,PDB,2*32+1*33,97,70,,27,Machine problem.,,Sylhet,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,47,Machine problem.,,Sylhet,,,
fenchuganj44energyprima,Gas,RPP,12*3.3+5*2,0,0,,,Contract Expired,,Sylhet,,,
shahjibazarg89,Gas,PDB,2*35,70,66,,,,,Sylhet,,,
shahjibazar100g,Gas,PDB,1*100,100,100,,20,Engine prolem,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,31,Machine problem,,Sylhet,,,
sylhet50epl,Gas,RPP ,27*2,0,0,,,Contract Expired,,Sylhet,,,
bibianaii341summit,Gas,IPP,1*222+1*119,341,341,,341,Under maint,,Sylhet,,,
bibiyanaiii400,Gas,PDB,400 MW,400,400,,400,Under maint,,Sylhet,,,
bheramarag3,HSD,PDB,1*20,20,16,,,,,Khulna,,,
khulna115kpcl2,HFO,QRPP,7*17,115,0,,,Contract Expired,,Khulna,,,
