Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,77,,Fuel shortage,,Rajshahi,,,
sirajgonj655solar,Solar,NWPGCL,1*6,6,6,,,,,Rajshahi,,,
adanipowerjharkhanda,Coal,Imported power,748*2,1496,1496,,,,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,85,,Under maint,,Rangpur,,,
barapukuria2,Coal,PDB,1*125,125,85,,85,Under maint,,Rangpur,,,
barapukuria2753,Coal,PDB,1*275,274,274,,104,Machine problem,,Rangpur,,,
rangpur20g,HSD,PDB,1*20,20,20,20,,,,Rangpur,,,
saidpur20g,HSD,PDB,1*20,20,20,20,,,,Rangpur,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,71,,Fuel shortage,,Rangpur,,,
sympasolarpower8,Solar,IPP,8 MW,8,8,,,,,Rangpur,,,
energypacpowerventurethakurgaon,HFO,IPP,115,115,115,40,,Fuel shortage,,Rangpur,,,
intracosolar30,Solar,IPP,1*30,30,30,,,,,Rangpur,,,
teestasolarlimited,Solar,BPCL ,16*12.5,200,200,,,,,Rangpur,,,
ghorasal12,Gas,PDB,2*55,110,85,,61,Unit-1 Under maint,,Dhaka,,,
ghorasalrepowered3,Gas,PDB,1*210,210,170,,170,Under maint,,Dhaka,,,
ghorasalrepowered4,Gas,PDB,1*210,210,180,,180,Under maint,,Dhaka,,,
ghorasal5,Gas,PDB,1*210,210,190,,190,Under maint,,Dhaka,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,65,,Gas shortage,,Dhaka,,,
ghorashal785max,Gas,QRPP,2*40,78,78,,,,,Dhaka,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,,,,,Dhaka,,,
haripurg,Gas,"SBU, PDB",2*32,64,40,,40,Under maint.,,Dhaka,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,,,,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,,,,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,,225,GT-2 Under maint.,,Dhaka,,,
meghnaghat100iel,HFO,QRPP,12*8.9,100,100,,,,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,305,305,155,,Gas shortage,,Dhaka,,,
madanganj102summit,HFO,QRPP ,6*17,102,100,,,,,Dhaka,,,
madanganj55summit,HFO,(IPP),3*17.08+1*11.3,55,55,,,,,Dhaka,,,
keraniganj100powerpac,HFO,QRPP,8*13.45,100,100,,,,,Dhaka,,,
narshingdi22doreen,Gas,"SIPP, REB",8*2.90,22,22,,,,,Dhaka,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,110,,Gas shortage,,Dhaka,,,
siddhirganj100dutchbangla,HFO,QRPP ,12*8.9,100,100,,,,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,,117,Engine problem,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,,,,,Dhaka,,,
katpotti52sinha,HFO,IPP,7*7.9,51,51,,,,,Dhaka,,,
kamalaghat54bancoenergy,HFO,IPP,3*18,54,54,,,,,Dhaka,,,
manikganj55northern,HFO,IPP,3*19.3,55,55,,20,Engine problem,,Dhaka,,,
nababganj55southernpower,HFO,IPP,3*19.3,55,55,,,,,Dhaka,,,
bosila108clc,HFO,IPP,12*8.775+1*3.5,108,108,108,,Fuel Shortage.,,Dhaka,,,
summitpowermadhabdiashulia,Gas,"SIPP,REB",3*3.67+4*8.73,80,80,,45,Engine problem,,Dhaka,,,
gazipur52,HFO,IPP,6*8.9,52,52,,,,,Dhaka,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,,,,,Dhaka,,,
keranigonj300apr,HSD,IPP,256*1.4,300,300,,,,,Dhaka,,,
bramhangoan100aggreko,HSD,IPP,100,100,100,,,,,Dhaka,,,
aurahati100aggreko,HSD,IPP,0.85*23+0.95*91,100,100,,,,,Dhaka,,,
kodda1491summit,HFO,IPP,149,149,149,,,,,Dhaka,,,
gazipur100,HFO,RPCL,100 MW,105,105,,,,,Dhaka,,,
chattogram1,Gas,PDB,1*210,210,180,80,,Gas shortage,,Chattogram,,,
chattogram2,Gas,PDB,1*210,210,180,180,,Gas shortage,,Chattogram,,,
raozan25,HFO,IPP,3*8.9,25,25,,,,,Chattogram,,,
teknaf20solartech,Solar,Teknaf Solartech Energy Ltd.,20,20,20,,,,,Chattogram,,,
patenga50baraka,HFO,IPP,8*6.98,50,50,,,,,Chattogram,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,190,,Low water level,,Chattogram,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*175,225,225,,,,,Chattogram,,,
sikalbahapeakinggt,Gas/HSD,PDB,1*150 ,150,150,,,,,Chattogram,,,
sikalbaha105barakasikalbaha,HFO,IPP,105 MW,105,105,,,,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,,98,Under maint.,,Chattogram,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,,,,,Chattogram,,,
juldah1001acorn,HFO,QRPP,8*13.45,100,100,,,,,Chattogram,,,
juldah1003acorn,HFO,IPP,0,100,100,,,,,Chattogram,,,
barabkunda22regent,Gas,"SIPP, PDB",8*2.90,22,22,,,,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,,,,,Chattogram,,,
anwara300ed,HFO,IPP,300 MW,300,300,,,                                                                                                                                                                                                     ,,Chattogram,,,
jodiacpower,HFO,IPP,3*18.55+1*3.6,54,54,,,,,Chattogram,,,
karnaphulipower,HFO,IPP,110,110,110,,,,,Chattogram,,,
juldah2,HFO,IPP,0,0,0,,,,,Chattogram,,,
ashuganj3,Gas,APSCL,1*150,150,135,,,,,Cumilla,,,
ashuganj4,Gas,APSCL,1*150,150,129,129,,Gas shortage,,Cumilla,,,
ashuganj5,Gas,APSCL,1*150,150,134,134,,Gas shortage,,Cumilla,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,,FGMO,,Cumilla,,,
ashuganj450north,Gas,APSCL,1*360,360,360,,,FGMO,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,,,FGMO,,Cumilla,,,
ashuganj55precision,Gas,RPP ,15*4,55,55,50,,Gas shortage,,Cumilla,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,150,,Gas shortage,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,,,,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,,,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,,ST shutdown,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,0,200,200,,,,,Cumilla,,,
feni22doreen,Gas,"SIPP, PDB",8*2.90,22,22,,,,,Cumilla,,,
jangalia52lakdanavi,HFO,IPP,6*8.92,52,52,,,,,Cumilla,,,
cumilla25summit,Gas,"SIPP, PDB",3*3.67+2*6.97,25,25,,,,,Cumilla,,,
daudkandi200btrac,HSD,IPP,154*1.4,200,200,,,,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,,,,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,,,,,Mymensingh,,,
tangail22doreen,Gas,"SIPP, PDB",8*2.90,22,22,,,,,Mymensingh,,,
jamalpur95powerpac,HFO,IPP,12*8.924,95,95,,,,,Mymensingh,,,
mymensingh200ed,HFO,IPP,200,200,200,,30,Machine problem,,Mymensingh,,,
jamalpur115ed,HFO,IPP,115 MW,115,115,,,,,Mymensingh,,,
fenchugonjphase1,Gas,PDB,2*32+1*33,97,70,,,,,Sylhet,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,60,Machine problem.,,Sylhet,,,
shajibazar330,Gas,PDB,3*110,330,330,,30,Engine problem,,Sylhet,,,
fenchugonj51barakatullah,Gas,RPP ,19*2.90,51,51,,,,,Sylhet,,,
fenchuganj44energyprima,Gas,RPP,12*3.3+5*2,44,44,,,,,Sylhet,,,
hobiganj11cofidencee,Gas,"SIPP, REB",4*2.90,11,11,,,,,Sylhet,,,
shahjibazarg89,Gas,PDB,2*35,70,66,,,FGMO,,Sylhet,,,
shahjibazar86shahjibazar,Gas,RPP ,32*2.90,86,86,,,,,Sylhet,,,
shahjibazar50epl,Gas,RPP,27*2.0,50,50,,,Contact expired,,Sylhet,,,
sylhet150,Gas,PDB,1*142,142,142,,,Engine problem,,Sylhet,,,
sylhet20g,Gas,PDB,1*20,20,20,,,,,Sylhet,,,
sylhet50epl,Gas,RPP ,27*2,50,50,,,Contract Expired,,Sylhet,,,
shahjahanulla25,Gas,"SIPP, REB",3*9.34,25,25,,,,,Sylhet,,,
bibiyanaiii400,Gas,PDB,400 MW,400,400,,400,Under maintenance,,Sylhet,,,
bheramarag123,HSD,PDB,3*20,60,46,,,,,Khulna,,,
khulna115kpcl2,HFO,QRPP,7*17,115,115,,,,,Khulna,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,,,,,Khulna,,,
khulna225,HSD,NWPGCL,1*150+1*75,230,230,,,,,Khulna,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,,,,,Khulna,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,,,,,Khulna,,,
noapara40khanjahanali,HFO,QRPP,5*8.5,40,40,,,,,Khulna,,,
noapara100banglatrac,HSD,IPP,70*1.4,100,100,,,,,Khulna,,,
rupsha105orionrupsha,HFO,IPP,6*18.445,105,105,,,,,Khulna,,,
madhumati100,HFO,IPP,100 MW,105,105,,,,,Khulna,,,
barisal110summit,HFO,IPP,7*17.076,110,110,,,,,Barisal,,,
barisalg12,HSD,PDB,2*20,40,30,,,,,Barisal,,,
bhola33venture,Gas,RPP,1*34.50,33,33,,,,,Barisal,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,,,,Barisal,,,
bhola95aggreko,Gas,QRPP,96*1.10,95,95,,,,,Barisal,,,
payra1320,Coal,NWPGCL,0,0,0,,,on test,,Barisal,,,
baghabari71g,Gas,PDB,1*71,71,71,,,,,Rajshahi,,,
baghabari100g,Gas,PDB,1*100,100,100,30,,Gas shortage,,Rajshahi,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,,,,,Rajshahi,,,
bera70peaking,HFO,PDB,9*8.29,71,71,,,,,Rajshahi,,,
amnura50sinha,HFO,QRPP,7*7.79,50,50,,,,,Rajshahi,,,
katakhali50northern,HFO,QRPP,6*8.9,50,50,,8,Engine problem,,Rajshahi,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,,,FGMO,,Rajshahi,,,
sirajgonj2252,Gas/HSD,NWPGCL,1*150+1*75,220,220,,,FGMO,,Rajshahi,,,
sirajgonj2253,Gas/HSD,NWPGCL,1*141,220,220,,,FGMO,,Rajshahi,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,,,FGMO,,Rajshahi,,,
santahar50peaking,HFO,PDB,6*8.7,50,50,,,,,Rajshahi,,,
bogra22gbb,Gas,RPP ,6*4,22,22,,,,,Rajshahi,,,
bogura20energyprima,Gas,RPP ,5*3.3+5*2,20,10,,,,,Rajshahi,,,
